"initial_list_status","purpose","int_rate","installment","annual_inc","dti","verification_status","grade","revol_bal","inq_last_12m","delinq_2yrs","home_ownership","not_paid","log_inc","verified","grdCtoA"
"f","debt_consolidation",9.93,267.55,84000,6.4,"Source Verified","B",2105,2,0,"MORTGAGE",0,11.3385720778255,1,1
"f","credit_card",7.21,322.13,26000,10.91,"Verified","A",8486,0,0,"OWN",1,10.1658518170036,1,1
"f","debt_consolidation",10.91,326.97,95370,20.56,"Not Verified","B",35130,3,0,"MORTGAGE",0,11.465519342573,0,1
"f","debt_consolidation",9.93,161.18,70000,14.56,"Not Verified","B",21658,3,0,"RENT",0,11.1562505210315,0,1
"w","debt_consolidation",23.88,1147.94,130000,33.71,"Verified","E",19655,1,0,"OWN",1,11.7752897294377,1,0
"w","debt_consolidation",21.45,273.08,36500,42.95,"Verified","D",11052,5,0,"MORTGAGE",0,10.5050675395706,1,0
"f","home_improvement",11.99,232.47,45000,6.43,"Verified","B",0,3,0,"MORTGAGE",1,10.7144177687525,1,1
"f","debt_consolidation",14.08,342.17,40000,10.92,"Source Verified","C",4541,1,0,"MORTGAGE",1,10.5966347330961,1,0
"w","credit_card",9.93,64.47,50000,34.45,"Not Verified","B",3329,6,0,"RENT",0,10.8197782844103,0,1
"w","debt_consolidation",21.45,327.69,116000,8.78,"Not Verified","D",10208,4,0,"RENT",0,11.6613454700885,0,0
"w","credit_card",17.09,249.01,30000,23.78,"Verified","D",4879,5,0,"RENT",0,10.3089526606443,1,0
"w","debt_consolidation",17.09,499.77,60000,41.8,"Source Verified","D",12229,2,0,"MORTGAGE",0,11.0020998412042,1,0
"w","home_improvement",10.42,214.55,60000,2.38,"Not Verified","B",4705,2,0,"OWN",0,11.0020998412042,0,1
"w","debt_consolidation",14.08,328.48,88000,7.26,"Verified","C",6964,0,2,"RENT",0,11.3850920934603,1,0
"w","debt_consolidation",10.91,850.1,150000,9.44,"Source Verified","B",15645,4,0,"MORTGAGE",0,11.9183905730784,1,1
"w","debt_consolidation",10.91,644.12,115000,17.18,"Source Verified","B",49522,0,0,"RENT",0,11.6526874073454,1,1
"w","debt_consolidation",7.35,372.45,120000,19.56,"Source Verified","A",12619,1,0,"MORTGAGE",1,11.6952470217642,1,1
"w","home_improvement",7.07,140.64,49185,1.22,"Verified","A",1258,0,0,"MORTGAGE",1,10.8033439779469,1,1
"w","debt_consolidation",26.3,602.37,82000,22.45,"Source Verified","E",50732,0,0,"MORTGAGE",1,11.3144745262464,1,0
"w","small_business",11.99,66.42,63000,20.76,"Not Verified","B",13112,0,0,"RENT",1,11.0508900053737,0,1
"w","credit_card",10.91,294.27,112000,23,"Source Verified","B",18683,4,0,"RENT",0,11.6262541502772,1,1
"w","debt_consolidation",13.59,220.87,51000,36.35,"Not Verified","C",17696,6,0,"MORTGAGE",1,10.8395809117065,0,0
"f","debt_consolidation",19.03,293.37,31000,19.42,"Verified","D",0,0,0,"OWN",1,10.3417424834673,1,0
"w","debt_consolidation",26.3,599.36,123000,20.38,"Verified","E",51164,3,0,"MORTGAGE",1,11.7199396343546,1,0
"w","debt_consolidation",16.02,402.64,36000,25.2,"Verified","C",12134,3,0,"OWN",1,10.4912742174382,1,0
"f","major_purchase",14.08,1183.9,138800,21.05,"Source Verified","C",1731,3,0,"RENT",1,11.8407893270548,1,0
"w","credit_card",21.45,819.22,85000,15.59,"Source Verified","D",33863,0,1,"RENT",0,11.3504065354725,1,0
"w","debt_consolidation",13.59,101.94,44000,12.6,"Not Verified","C",8869,1,0,"RENT",0,10.6919449129004,0,0
"w","debt_consolidation",14.08,290.85,55000,21.78,"Verified","C",10938,5,0,"RENT",0,10.9150884642146,1,0
"w","debt_consolidation",11.99,338.74,88000,14.73,"Not Verified","B",24406,0,1,"RENT",0,11.3850920934603,0,1
"w","debt_consolidation",7.21,495.58,40000,40.98,"Verified","A",23451,0,0,"MORTGAGE",1,10.5966347330961,1,1
"w","credit_card",7.35,247.53,60000,6.66,"Not Verified","A",17985,2,0,"RENT",0,11.0020998412042,0,1
"w","debt_consolidation",12.62,402.14,23000,38.73,"Verified","C",6720,5,0,"RENT",0,10.0432494949113,1,0
"w","home_improvement",14.08,559.44,36000,8.8,"Source Verified","C",25,0,0,"RENT",1,10.4912742174382,1,0
"w","debt_consolidation",18.06,330.54,98000,7.07,"Source Verified","D",2802,0,0,"RENT",1,11.4927227576527,1,0
"f","home_improvement",15.05,346.9,115000,24.71,"Not Verified","C",16205,7,1,"RENT",1,11.6526874073454,0,0
"w","small_business",7.97,1252.91,300000,14.37,"Verified","A",31012,3,0,"MORTGAGE",0,12.6115377536383,1,1
"w","debt_consolidation",10.42,389.58,110000,19.38,"Not Verified","B",16486,1,0,"MORTGAGE",0,11.6082356447746,0,1
"w","major_purchase",15.05,1144.77,210000,2.09,"Source Verified","C",2191,5,0,"RENT",0,12.2548628096996,1,0
"w","debt_consolidation",18.06,289.47,65000,12.74,"Source Verified","D",13362,2,0,"MORTGAGE",1,11.0821425488778,1,0
"w","credit_card",16.02,298.92,45000,6.93,"Not Verified","C",5979,0,1,"OWN",1,10.7144177687525,0,0
"f","debt_consolidation",19.03,366.72,55000,28.71,"Source Verified","D",14521,10,0,"MORTGAGE",1,10.9150884642146,1,0
"w","debt_consolidation",17.09,498.02,65000,14.29,"Verified","D",9399,4,1,"RENT",0,11.0821425488778,1,0
"f","debt_consolidation",9.44,208.04,17000,18.72,"Source Verified","B",6488,0,0,"MORTGAGE",1,9.74096862303835,1,1
"w","credit_card",9.93,424.26,65000,15.92,"Not Verified","B",19289,0,0,"RENT",1,11.0821425488778,0,1
"w","home_improvement",12.62,225.6,40000,17.16,"Not Verified","C",2682,1,0,"MORTGAGE",1,10.5966347330961,0,0
"w","debt_consolidation",14.08,342.17,39600,2.12,"Verified","C",1406,2,2,"MORTGAGE",0,10.5865843972426,1,0
"w","credit_card",7.35,111.74,97000,17.98,"Not Verified","A",20879,4,0,"OWN",0,11.4824662574855,0,1
"f","credit_card",10.91,523.14,62000,19.74,"Source Verified","B",16696,1,0,"RENT",0,11.0348896640272,1,1
"w","debt_consolidation",18.06,254.27,45000,22.85,"Verified","D",6120,0,0,"MORTGAGE",1,10.7144177687525,1,0
"w","home_improvement",13.59,461.13,200000,10.49,"Source Verified","C",22170,6,0,"MORTGAGE",0,12.2060726455302,1,0
"w","debt_consolidation",21.45,286.73,22000,25.49,"Source Verified","D",13306,0,0,"MORTGAGE",1,9.99879773234045,1,0
"w","home_improvement",10.42,321.82,49800,2.46,"Source Verified","B",7316,2,0,"MORTGAGE",0,10.8157702630127,1,1
"w","debt_consolidation",12.62,204.42,72000,14.62,"Not Verified","C",5519,3,0,"MORTGAGE",0,11.1844213979982,0,0
"w","debt_consolidation",12.62,88.81,55000,13.03,"Source Verified","C",1782,1,2,"MORTGAGE",1,10.9150884642146,1,0
"w","debt_consolidation",18.06,406.82,48000,6.33,"Not Verified","D",9271,0,1,"MORTGAGE",1,10.77895628989,0,0
"w","credit_card",10.91,1046.28,150000,23.26,"Source Verified","B",26224,2,0,"MORTGAGE",1,11.9183905730784,1,1
"w","credit_card",21.45,341.34,25000,10.42,"Not Verified","D",2752,0,1,"RENT",0,10.1266311038503,0,0
"w","debt_consolidation",9.93,354.58,135000,9.97,"Source Verified","B",14585,0,0,"MORTGAGE",0,11.8130300574206,1,1
"w","credit_card",7.35,124.15,22561,21.55,"Verified","A",2478,0,0,"RENT",0,10.0239780308708,1,1
"w","major_purchase",18.06,483.1,82400,14.01,"Source Verified","D",8265,5,0,"RENT",1,11.3193407158976,1,0
"w","debt_consolidation",10.42,772.36,95777,6.28,"Not Verified","B",3134,1,0,"RENT",1,11.469777851627,0,1
"f","debt_consolidation",14.08,919.57,74000,21.44,"Verified","C",19066,0,0,"RENT",0,11.2118203721863,1,0
"w","debt_consolidation",14.08,171.09,47598,20.1,"Source Verified","C",11529,0,1,"MORTGAGE",1,10.7705460225301,1,0
"f","debt_consolidation",17.09,149.93,135000,35.48,"Not Verified","D",35421,0,0,"MORTGAGE",0,11.8130300574206,0,0
"w","debt_consolidation",16.02,851.51,80000,16.03,"Verified","C",3036,1,0,"RENT",0,11.289781913656,1,0
"w","credit_card",21.45,955.75,185000,11.57,"Verified","D",54934,1,0,"OWN",1,12.1281111040605,1,0
"w","debt_consolidation",30.17,778.99,35000,42.08,"Source Verified","F",11787,2,0,"RENT",1,10.4631033404715,1,0
"w","credit_card",21.45,327.69,161900,31.47,"Not Verified","D",54934,1,0,"MORTGAGE",0,11.9947341396657,0,0
"f","home_improvement",9.93,445.47,70200,19.31,"Not Verified","B",32730,3,0,"MORTGAGE",0,11.1591035900139,0,1
"f","credit_card",13.59,577.65,40000,32.16,"Verified","C",28223,2,0,"RENT",1,10.5966347330961,1,0
"w","debt_consolidation",10.42,1298.59,140000,24.76,"Verified","B",43719,4,0,"MORTGAGE",0,11.8493977015914,1,1
"w","debt_consolidation",20,445.97,38000,10.93,"Source Verified","D",13400,2,0,"RENT",0,10.5453414387085,1,0
"w","debt_consolidation",17.09,622.53,95760.11,19.29,"Source Verified","D",40947,0,0,"RENT",0,11.4696014889363,1,0
"w","debt_consolidation",10.91,549.3,70223,27.6,"Source Verified","B",2143,2,0,"OWN",0,11.1594311716808,1,1
"w","debt_consolidation",13.59,258.23,45000,23.71,"Verified","C",7784,3,0,"OWN",0,10.7144177687525,1,0
"w","debt_consolidation",9.44,314.59,90000,11.35,"Not Verified","B",16267,3,0,"OWN",1,11.4075649493124,0,1
"w","credit_card",11.99,166.05,27000,37.42,"Not Verified","B",11290,1,0,"OWN",1,10.2035921449865,0,1
"w","debt_consolidation",29.69,385.96,41500,16.25,"Source Verified","F",11124,3,0,"MORTGAGE",1,10.6334487062188,1,0
"f","debt_consolidation",9.93,541.54,89000,33.58,"Verified","B",68718,1,1,"RENT",1,11.3963916487143,1,1
"w","credit_card",14.08,291.38,40000,22.53,"Source Verified","C",6600,0,0,"RENT",0,10.5966347330961,1,0
"w","credit_card",13.59,1189.26,98400,10.07,"Source Verified","C",15030,6,0,"MORTGAGE",0,11.4967960830403,1,0
"w","home_improvement",9.44,838.91,97400,12.64,"Source Verified","B",2372,1,0,"MORTGAGE",1,11.4865814896306,1,1
"w","credit_card",7.97,532.49,80100,19,"Not Verified","A",11485,0,0,"MORTGAGE",1,11.2910311330565,0,1
"w","debt_consolidation",10.91,261.57,75000,25.02,"Not Verified","B",6808,3,0,"RENT",0,11.2252433925184,0,1
"w","credit_card",10.42,324.65,66000,34.49,"Source Verified","B",22903,1,0,"MORTGAGE",1,11.0974100210086,1,1
"w","debt_consolidation",19.03,36.68,32000,30.8,"Verified","D",0,2,0,"RENT",0,10.3734911817819,1,0
"w","debt_consolidation",18.06,201.72,35000,27.88,"Source Verified","D",1137,0,0,"RENT",1,10.4631033404715,1,0
"w","debt_consolidation",19.03,363.4,55000,21.27,"Source Verified","D",22981,2,0,"MORTGAGE",0,10.9150884642146,1,0
"w","home_improvement",11.99,149.45,88282,8.37,"Source Verified","B",5604,4,0,"MORTGAGE",0,11.3882915153021,1,1
"w","debt_consolidation",11.99,889.58,200000,13.01,"Source Verified","B",10763,0,0,"RENT",1,12.2060726455302,1,1
"w","credit_card",7.97,469.84,60000,19.2,"Not Verified","A",25011,2,0,"MORTGAGE",0,11.0020998412042,0,1
"w","debt_consolidation",25.82,447.51,65000,29.73,"Verified","E",11415,1,0,"MORTGAGE",1,11.0821425488778,1,0
"w","credit_card",14.08,342.17,60000,20.28,"Source Verified","C",18518,1,0,"RENT",1,11.0020998412042,1,0
"w","debt_consolidation",9.44,179.23,42000,6.4,"Source Verified","B",2385,4,0,"MORTGAGE",0,10.6454248972655,1,1
"f","small_business",7.35,465.57,60000,6.2,"Source Verified","A",1739,0,0,"MORTGAGE",1,11.0020998412042,1,1
"w","home_improvement",7.21,929.2,175000,25.37,"Source Verified","A",16885,5,0,"MORTGAGE",0,12.0725412529057,1,1
"w","credit_card",16.02,246.17,72000,25.15,"Not Verified","C",42697,3,0,"MORTGAGE",0,11.1844213979982,0,0
"f","debt_consolidation",10.91,392.36,94000,8.62,"Not Verified","B",30032,0,0,"RENT",1,11.4510500612521,0,1
"w","debt_consolidation",16.02,608.22,95000,22.52,"Not Verified","C",27762,0,0,"MORTGAGE",1,11.4616321705827,0,0
"w","credit_card",9.93,161.18,146707,6.9,"Source Verified","B",923,5,0,"MORTGAGE",0,11.8961926794208,1,1
"w","home_improvement",6.72,199.88,60000,16.27,"Not Verified","A",2917,0,0,"MORTGAGE",0,11.0020998412042,0,1
"w","debt_consolidation",23.88,344.39,45000,16.88,"Source Verified","E",12128,3,0,"OWN",1,10.7144177687525,1,0
"w","debt_consolidation",15.05,381.06,58000,29.34,"Source Verified","C",16316,2,0,"RENT",1,10.9681982895286,1,0
"w","debt_consolidation",10.91,392.36,41000,16.6,"Source Verified","B",6197,3,0,"RENT",1,10.6213273456864,1,1
"w","debt_consolidation",19.03,415.32,79882.37,14.19,"Not Verified","D",22625,2,0,"MORTGAGE",0,11.2883104565939,0,0
"w","debt_consolidation",9.44,480.08,43000,16.1,"Source Verified","B",4573,0,2,"RENT",1,10.6689553946757,1,1
"w","credit_card",10.42,162.33,66000,21.4,"Not Verified","B",3376,0,0,"RENT",0,11.0974100210086,0,1
"w","debt_consolidation",21.45,189.54,37500,9.44,"Source Verified","D",10456,9,1,"RENT",1,10.5320962119585,1,0
"w","credit_card",20,371.64,274000,23.09,"Not Verified","D",86049,1,1,"MORTGAGE",1,12.5208833853702,0,0
"w","debt_consolidation",21.45,132.68,24000,25.61,"Not Verified","D",10745,0,0,"RENT",0,10.0858091093301,0,0
"w","credit_card",14.08,136.87,26000,5.12,"Not Verified","C",7049,1,0,"RENT",1,10.1658518170036,0,0
"w","credit_card",20,1059.76,85000,24.79,"Not Verified","D",33710,0,0,"MORTGAGE",0,11.3504065354725,0,0
"w","debt_consolidation",12.62,233.75,60000,25.96,"Verified","C",6690,4,0,"OWN",1,11.0020998412042,1,0
"w","debt_consolidation",9.93,225.65,52445,16.13,"Source Verified","B",9076,0,0,"MORTGAGE",0,10.8675202803957,1,1
"w","debt_consolidation",18.06,256.81,45000,31.17,"Not Verified","D",2242,2,0,"MORTGAGE",1,10.7144177687525,0,0
"f","debt_consolidation",19.03,110.02,35000,24.74,"Verified","D",3710,2,0,"RENT",0,10.4631033404715,1,0
"f","home_improvement",20,74.33,18000,43,"Verified","D",8457,0,0,"RENT",1,9.7981270368783,1,0
"f","debt_consolidation",7.21,1238.93,129996,6.55,"Source Verified","A",31614,3,0,"RENT",1,11.7752589597336,1,1
"w","debt_consolidation",9.93,112.83,40000,6.57,"Not Verified","B",2774,5,0,"RENT",1,10.5966347330961,0,1
"w","home_improvement",10.42,1136.27,150000,11.01,"Verified","B",32696,2,0,"MORTGAGE",1,11.9183905730784,1,1
"w","debt_consolidation",16.02,330.88,65000,21.68,"Source Verified","C",14078,9,0,"RENT",0,11.0821425488778,1,0
"f","debt_consolidation",17.09,674.69,42000,21.69,"Not Verified","D",8774,1,0,"RENT",0,10.6454248972655,0,0
"w","debt_consolidation",13.59,276.68,42999,12.76,"Verified","C",1819,7,0,"RENT",1,10.6689321385913,1,0
"w","debt_consolidation",9.44,1053.77,365000,26.4,"Source Verified","B",244628,2,0,"OWN",1,12.8076526325646,1,1
"w","debt_consolidation",20,688.85,52000,19.35,"Verified","D",3183,4,0,"RENT",0,10.8589989975636,1,0
"w","debt_consolidation",20,222.99,76000,6.93,"Not Verified","D",14577,0,0,"MORTGAGE",0,11.2384886192685,0,0
"f","home_improvement",10.42,389.58,98000,7.38,"Not Verified","B",11021,6,2,"MORTGAGE",1,11.4927227576527,0,1
"w","credit_card",19.03,293.37,66000,15.82,"Source Verified","D",31377,0,1,"RENT",1,11.0974100210086,1,0
"w","major_purchase",19.03,80.68,96000,10.39,"Not Verified","D",1600,3,0,"RENT",1,11.47210347045,0,0
"w","home_improvement",9.44,629.18,90000,7.44,"Verified","B",5646,1,0,"MORTGAGE",0,11.4075649493124,1,1
"f","home_improvement",10.91,1307.85,240000,5.21,"Verified","B",185,9,2,"MORTGAGE",1,12.3883942023241,1,1
"w","home_improvement",10.42,97.4,28000,21,"Source Verified","B",332,2,0,"RENT",1,10.2399597891573,1,1
"w","credit_card",9.93,80.59,89000,14.71,"Source Verified","B",1435,8,0,"MORTGAGE",0,11.3963916487143,1,1
"w","debt_consolidation",24.85,877.91,30000,37.52,"Source Verified","E",13242,2,0,"RENT",0,10.3089526606443,1,0
"w","debt_consolidation",9.44,256.04,38000,24.68,"Verified","B",7087,3,1,"MORTGAGE",1,10.5453414387085,1,1
"w","debt_consolidation",11.99,778.38,130000,19.1,"Source Verified","B",36666,1,0,"MORTGAGE",0,11.7752897294377,1,1
"f","credit_card",21.45,379.07,275000,37.96,"Source Verified","D",82115,1,0,"RENT",1,12.5245263766487,1,0
"f","debt_consolidation",9.44,224.04,40000,6,"Source Verified","B",5714,4,0,"MORTGAGE",0,10.5966347330961,1,1
"w","debt_consolidation",15.05,208.14,46000,22.44,"Verified","C",8347,6,1,"OWN",1,10.7363966754712,1,0
"w","debt_consolidation",30.79,1149.42,80100,14.11,"Verified","G",22093,1,1,"MORTGAGE",0,11.2910311330565,1,0
"w","credit_card",26.3,783.08,950000,9.57,"Verified","E",142420,4,0,"MORTGAGE",0,13.7642172635767,1,0
"f","credit_card",25.82,1406.82,68000,0.44,"Verified","E",51,2,0,"MORTGAGE",1,11.1272629841582,1,0
"f","credit_card",11.99,53.14,50000,8.33,"Verified","B",5673,2,0,"MORTGAGE",0,10.8197782844103,1,1
"w","major_purchase",9.44,1280.2,120000,3.97,"Verified","B",3328,8,0,"MORTGAGE",1,11.6952470217642,1,1
"f","credit_card",18.06,289.47,58000,8.3,"Not Verified","D",4722,1,1,"RENT",1,10.9681982895286,0,0
"f","credit_card",15.05,360.78,92000,20.41,"Source Verified","C",12136,5,0,"MORTGAGE",0,11.4295438560312,1,0
"w","debt_consolidation",10.42,506.45,60000,16.46,"Not Verified","B",1286,3,0,"MORTGAGE",0,11.0020998412042,0,1
"w","debt_consolidation",21.45,655.38,100000,3.52,"Not Verified","D",18,6,0,"RENT",1,11.5129254649702,0,0
"w","credit_card",14.08,372.96,45000,10.29,"Source Verified","C",2443,2,0,"RENT",1,10.7144177687525,1,0
"w","debt_consolidation",12.62,73.73,18000,21.53,"Verified","C",6766,2,0,"RENT",1,9.7981270368783,1,0
"w","credit_card",12.62,402.14,35000,28.33,"Source Verified","C",4696,3,0,"MORTGAGE",0,10.4631033404715,1,0
"w","small_business",10.42,1298.59,100000,34.29,"Verified","B",29322,4,0,"MORTGAGE",1,11.5129254649702,1,1
"w","debt_consolidation",18.06,635.66,79000,33.16,"Not Verified","D",22290,0,0,"RENT",0,11.2772031314492,0,0
"f","credit_card",17.09,214.19,55000,11.76,"Not Verified","D",19857,1,0,"RENT",1,10.9150884642146,0,0
"f","debt_consolidation",12.62,46.92,31665.71,0.45,"Verified","C",12,8,0,"RENT",0,10.3629896709319,1,0
"w","debt_consolidation",9.93,742.45,167000,3.82,"Source Verified","B",1787,2,2,"MORTGAGE",0,12.0257490913989,1,1
"w","major_purchase",23.88,1004.45,95000,5.46,"Verified","E",12909,2,0,"OWN",1,11.4616321705827,1,0
"w","debt_consolidation",7.97,1252.91,140000,3.23,"Source Verified","A",5178,0,1,"RENT",1,11.8493977015914,1,1
"f","credit_card",14.08,821.2,135000,34.16,"Verified","C",74529,1,0,"MORTGAGE",1,11.8130300574206,1,0
"f","debt_consolidation",26.3,373.16,120000,37.18,"Source Verified","E",8497,2,0,"MORTGAGE",1,11.6952470217642,1,0
"w","credit_card",20,529.88,54000,20.31,"Source Verified","D",19902,0,1,"MORTGAGE",0,10.8967393255464,1,0
"w","credit_card",14.08,372.96,100000,9.85,"Not Verified","C",10700,2,1,"MORTGAGE",1,11.5129254649702,0,0
"f","credit_card",21.45,500.37,56160,12.39,"Source Verified","D",10363,5,2,"RENT",0,10.9359600386997,1,0
"f","debt_consolidation",19.03,344.71,40000,13.65,"Source Verified","D",5417,1,0,"RENT",0,10.5966347330961,1,0
"w","home_improvement",11.99,778.38,191000,5.86,"Verified","B",3720,3,0,"MORTGAGE",0,12.1600287070288,1,1
"w","debt_consolidation",14.08,447.55,10000,62.18,"Not Verified","C",5266,3,0,"MORTGAGE",0,9.21034037197618,0,0
"w","credit_card",15.05,138.76,68000,12.85,"Source Verified","C",17047,1,0,"RENT",1,11.1272629841582,1,0
"f","debt_consolidation",15.05,1387.6,189000,29.94,"Verified","C",84987,5,0,"MORTGAGE",1,12.1495022940418,1,0
"w","debt_consolidation",19.03,366.72,30000,15.04,"Verified","D",12812,0,0,"MORTGAGE",1,10.3089526606443,1,0
"w","debt_consolidation",10.91,130.79,112000,18.26,"Not Verified","B",21028,1,0,"RENT",1,11.6262541502772,0,1
"w","debt_consolidation",7.97,493.33,75000,19.9,"Not Verified","A",13417,2,1,"MORTGAGE",1,11.2252433925184,0,1
"w","credit_card",10.42,259.72,65000,9.38,"Not Verified","B",8141,3,0,"OWN",0,11.0821425488778,0,1
"w","debt_consolidation",25.82,761.52,70891,25.34,"Source Verified","E",11340,5,0,"MORTGAGE",1,11.1688987651115,1,0
"f","credit_card",13.59,217.47,22000,22.2,"Not Verified","C",3959,1,0,"RENT",1,9.99879773234045,0,0
"w","home_improvement",11.99,889.58,110000,6.21,"Not Verified","B",0,1,0,"RENT",1,11.6082356447746,0,1
"w","debt_consolidation",14.08,684.33,100000,18.58,"Source Verified","C",25669,0,1,"MORTGAGE",1,11.5129254649702,1,0
"w","debt_consolidation",10.91,539.49,64000,18.29,"Not Verified","B",8713,1,0,"RENT",0,11.0666383623418,0,1
"w","major_purchase",10.42,584.37,75000,2.15,"Not Verified","B",2871,0,1,"RENT",1,11.2252433925184,0,1
"w","debt_consolidation",10.42,324.65,89161,13.19,"Source Verified","B",20545,2,3,"MORTGAGE",1,11.3981990032287,1,1
"w","debt_consolidation",18.06,762.79,51866,21.33,"Verified","D",45950,1,1,"MORTGAGE",1,10.8564187485053,1,0
"w","credit_card",16.02,39.57,25000,15.85,"Source Verified","C",1674,0,7,"RENT",0,10.1266311038503,1,0
"f","credit_card",9.44,640.1,82000,13.07,"Source Verified","B",22580,0,0,"RENT",0,11.3144745262464,1,1
"w","major_purchase",5.32,271.04,150000,5.27,"Source Verified","A",7893,0,0,"RENT",0,11.9183905730784,1,1
"w","debt_consolidation",30.94,494,55000,44.36,"Verified","G",36376,5,0,"MORTGAGE",0,10.9150884642146,1,0
"w","credit_card",14.08,261.07,30940,21.84,"Not Verified","C",13175,1,0,"RENT",1,10.3398051241271,0,0
"w","credit_card",10.42,350.62,49500,19.03,"Not Verified","B",12509,2,1,"RENT",1,10.8097279485568,0,1
"w","debt_consolidation",22.91,281.39,400000,19.93,"Verified","E",134089,3,0,"MORTGAGE",0,12.8992198260901,1,0
"w","home_improvement",6.72,92.25,70000,7.27,"Not Verified","A",2424,1,0,"MORTGAGE",0,11.1562505210315,0,1
"w","credit_card",11.99,664.2,105000,23.41,"Not Verified","B",15866,4,0,"RENT",1,11.5617156291397,0,1
"w","debt_consolidation",7.97,313.23,50000,23.37,"Source Verified","A",2101,0,2,"OWN",0,10.8197782844103,1,1
"f","debt_consolidation",22.91,773.26,43000,39.35,"Verified","E",18128,1,0,"RENT",1,10.6689553946757,1,0
"f","debt_consolidation",11.99,498.15,55000,26.55,"Source Verified","B",16278,0,0,"RENT",1,10.9150884642146,1,1
"w","credit_card",18.06,361.83,48000,38.25,"Verified","D",33307,0,0,"MORTGAGE",1,10.77895628989,1,0
"w","debt_consolidation",16.02,291.95,93500,17.44,"Verified","C",7811,1,0,"RENT",1,11.4457167152768,1,0
"w","debt_consolidation",15.05,428.7,85000,12.37,"Source Verified","C",17082,1,0,"OWN",1,11.3504065354725,1,0
"w","debt_consolidation",14.08,261.07,57000,26.32,"Not Verified","C",11152,2,0,"MORTGAGE",0,10.9508065468167,0,0
"f","debt_consolidation",14.08,136.87,200000,11.67,"Source Verified","C",17599,2,0,"OWN",1,12.2060726455302,1,0
"w","debt_consolidation",10.42,811.62,400000,8.73,"Verified","B",7733,15,0,"RENT",0,12.8992198260901,1,1
"w","debt_consolidation",10.42,472,82000,22.22,"Verified","B",6602,1,0,"RENT",0,11.3144745262464,1,1
"w","debt_consolidation",7.35,798.67,132000,14.64,"Source Verified","A",22679,9,0,"MORTGAGE",0,11.7905572015685,1,1
"w","debt_consolidation",18.06,542.74,65000,11.34,"Source Verified","D",1928,1,0,"MORTGAGE",1,11.0821425488778,1,0
"f","debt_consolidation",14.08,171.09,100000,20.48,"Not Verified","C",1322,0,0,"MORTGAGE",0,11.5129254649702,0,0
"w","credit_card",9.44,440.43,49000,9.97,"Not Verified","B",4062,0,0,"MORTGAGE",0,10.7995755770928,0,1
"w","home_improvement",16.02,139.79,56000,9.62,"Source Verified","C",72,3,2,"OWN",1,10.9331069697173,1,0
"f","debt_consolidation",22.91,367.3,51000,14.87,"Verified","E",7593,0,0,"MORTGAGE",0,10.8395809117065,1,0
"f","home_improvement",15.05,346.9,50000,28.16,"Not Verified","C",12959,1,0,"MORTGAGE",1,10.8197782844103,0,0
"f","debt_consolidation",20,148.66,56000,5.51,"Source Verified","D",6291,0,0,"MORTGAGE",1,10.9331069697173,1,0
"w","debt_consolidation",17.09,535.47,35000,30.45,"Source Verified","D",11062,0,1,"MORTGAGE",0,10.4631033404715,1,0
"w","small_business",7.35,993.2,200000,11.04,"Not Verified","A",7002,1,0,"RENT",1,12.2060726455302,0,1
"w","home_improvement",12.62,884.7,186000,19.01,"Not Verified","C",54349,5,0,"OWN",1,12.1335019526953,0,0
"w","debt_consolidation",20,652.42,56000,23.85,"Verified","D",8138,2,0,"RENT",0,10.9331069697173,1,0
"w","debt_consolidation",24.85,643.8,60000,38.16,"Source Verified","E",18341,8,0,"MORTGAGE",1,11.0020998412042,1,0
"w","debt_consolidation",10.42,343.27,60000,13.94,"Verified","B",6324,0,0,"MORTGAGE",1,11.0020998412042,1,1
"w","debt_consolidation",12.62,225.37,88648,16.91,"Source Verified","C",11722,2,0,"MORTGAGE",0,11.3924287506162,1,0
"f","debt_consolidation",24.85,277.77,24000,31.6,"Verified","E",7607,2,0,"RENT",1,10.0858091093301,1,0
"w","debt_consolidation",7.35,218.82,75000,11.18,"Not Verified","A",3720,8,0,"OWN",0,11.2252433925184,0,1
"f","debt_consolidation",21.45,947.67,90000,17.69,"Not Verified","D",33314,3,0,"MORTGAGE",0,11.4075649493124,0,0
"w","debt_consolidation",28.72,1262.87,115000,26.9,"Verified","F",29255,5,1,"MORTGAGE",0,11.6526874073454,1,0
"w","credit_card",28.72,1105.01,125000,17.77,"Verified","F",32980,3,0,"MORTGAGE",0,11.7360690162844,1,0
"w","debt_consolidation",16.02,351.67,95000,31.91,"Not Verified","C",18258,0,0,"MORTGAGE",0,11.4616321705827,0,0
"w","debt_consolidation",19.03,389.36,55000,31.01,"Source Verified","D",13940,5,0,"MORTGAGE",0,10.9150884642146,1,0
"w","debt_consolidation",7.35,155.19,60000,7.76,"Not Verified","A",3570,0,0,"MORTGAGE",0,11.0020998412042,0,1
"w","debt_consolidation",15.05,249.77,45000,20.16,"Source Verified","C",10472,0,0,"OWN",0,10.7144177687525,1,0
"w","credit_card",18.06,508.53,90000,15.6,"Not Verified","D",14143,1,0,"RENT",1,11.4075649493124,0,0
"w","debt_consolidation",10.42,324.65,84492,32.68,"Verified","B",23970,2,0,"MORTGAGE",0,11.3444121343071,1,1
"w","debt_consolidation",30.17,1136.03,98000,30.79,"Verified","F",11522,2,0,"RENT",1,11.4927227576527,1,0
