newacct_no,tenure,effc_strt_date,effc_end_date,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,complaint_cnt,with_phone_service,churn
94220332.001.000069836,49,2016-06-18,2018-06-17,24,-20,140,30M,0,0,1,1
94934346.001.000080770,22,2016-09-27,2018-09-26,24,-16,108,100M (FTTO),0,0,0,1
74839564.001.000018938,157,2018-10-30,2020-10-29,24,9,150,10M,0,0,1,0
95388914.001.000085746,23,2019-09-27,2021-09-26,24,20,198,100M,0,0,0,0
90339433.001.000093201,7,2019-02-26,2021-02-25,24,12,1048,100M,0,0,1,0
73529067.001.000088067,4,2018-03-21,2020-03-20,24,1,810,1000M (FTTO),0,0,1,0
93338291.001.000060843,91,2018-01-20,2020-01-19,24,-1,124,100M,0,0,1,0
92597913.001.000058300,85,2020-01-08,2022-07-01,24,23,128,30M,0,0,1,0
95426029.001.000086215,14,2017-10-25,2019-10-24,24,-4,140,100M,0,0,0,1
72677214.016.000083650,28,2019-05-15,2021-05-14,24,15,198,100M (FTTO),0,0,1,0
96090956.001.000093023,9,2019-03-01,2021-02-28,24,13,138,100M,0,0,0,0
94896701.001.000080271,22,2018-09-14,2020-09-13,24,7,651,30M,0,0,0,0
95218798.001.000083778,17,2017-06-01,2020-05-31,36,4,225,100M (FTTO),0,0,0,0
93846780.001.000064447,78,2019-02-01,2021-01-31,24,12,273,100M,0,0,1,0
94218336.001.000069795,46,2018-04-11,2020-10-04,24,2,524,30M,0,0,1,0
95520227.002.000087381,9,2018-01-22,2018-04-21,3,-22,0,1000M (FTTO),0,0,0,0
73760555.001.000013891,166,2019-02-01,2021-01-31,24,12,140,100M,0,0,1,0
71782338.001.000072733,40,2017-02-27,2020-02-26,36,1,2340,30M,0,0,0,0
93231413.001.000060346,72,2016-02-01,2018-01-31,24,-24,163,10M,0,0,0,0
75456772.001.000057734,87,2019-05-31,2021-05-30,24,16,1580,100M,0,0,0,0
90331729.001.000089573,5,2018-07-06,2020-05-07,24,5,192,100M,0,0,0,0
94398179.001.000072762,55,2019-03-09,2021-08-03,24,13,230,100M,0,0,1,0
72085277.004.000074913,50,2018-03-03,2020-02-03,24,1,188,100M,0,0,1,0
94873890.001.000079953,40,2018-07-29,2020-07-28,24,6,124,100M,0,0,0,0
94460219.001.000073647,48,2019-05-01,2021-04-30,24,15,898,100M,0,0,0,0
96181730.001.000093716,5,2019-04-12,2021-11-04,24,14,378,100M,0,0,0,0
94317609.001.000071366,45,2016-11-13,2018-12-11,24,-15,366,100M (FTTO),0,0,1,1
95199931.001.000083590,9,2017-05-31,2019-05-30,24,-10,530,1000M (FTTO),0,0,0,1
94527280.001.000074471,42,2019-08-01,2021-07-31,24,18,225,100M (FTTO),0,0,0,0
95647921.001.000088744,12,2018-06-15,2020-06-14,24,4,212,100M,0,0,0,0
93931384.001.000065829,65,2019-11-22,2021-11-21,24,21,202,100M,0,0,1,0
93826634.001.000064179,59,2018-02-01,2020-01-31,24,0,284,50M,0,0,0,0
78160017.002.000052578,99,2018-06-01,2020-05-31,24,4,138,10M,0,0,0,0
95528022.001.000087396,9,2020-01-22,2022-01-21,24,23,250,30M,0,0,0,0
74467655.001.000017074,149,2019-01-03,2021-02-01,24,11,610,100M,0,0,1,0
94600376.001.000075730,29,2017-10-23,2019-10-22,24,-4,163,10M,0,0,0,1
93048528.001.000059816,85,2019-11-06,2021-05-11,24,21,166,30M,0,0,1,0
90443607.001.000030505,108,2018-05-15,2020-05-14,24,3,163,10M,0,0,0,0
94322559.001.000071431,51,2020-01-02,2021-01-07,18,17,200,30M,0,1,0,0
95512109.001.000087210,17,2018-01-19,2020-01-18,24,-1,198,100M,0,0,0,0
93285781.001.000060554,88,2018-03-02,2020-01-03,24,1,756,100M,0,0,0,0
91001578.001.000041871,103,2019-09-01,2021-08-31,24,19,368,100M,0,0,1,0
94678661.001.000076892,41,2020-01-12,2022-11-01,24,23,309,100M (FTTO),0,0,0,0
72081417.001.000007781,179,2018-08-23,2020-08-22,24,6,180,10M,0,0,1,0
95429049.001.000086272,18,2019-10-27,2021-10-26,24,21,90,100M,0,0,0,0
90418377.001.000030329,128,2019-07-01,2021-06-30,24,17,463,100M,0,0,1,0
94843752.001.000089777,12,2018-07-10,2020-09-07,24,5,180,100M,0,0,0,0
94754108.001.000078124,26,2018-04-18,2020-04-17,24,2,140,100M,0,0,0,0
90685710.001.000033279,126,2019-05-01,2021-04-30,24,15,235,100M,0,0,0,0
94627411.001.000076019,29,2019-10-11,2021-10-10,24,20,140,100M,0,0,0,0
96058318.001.000092769,10,2019-01-11,2021-10-01,24,11,168,100M,0,0,0,0
90706243.001.000033493,125,2017-02-04,2021-03-01,47,11,257,100M,0,0,0,0
94702743.001.000077341,45,2020-02-04,2022-03-02,24,24,605,100M (FTTO),0,0,0,0
91370627.001.000050611,103,2018-04-16,2020-04-15,24,2,198,100M,0,0,1,0
94118205.001.000068309,66,2018-02-24,2020-02-23,24,0,90,30M,0,0,1,0
94266137.001.000090847,2,2018-09-29,2020-09-28,24,8,348,100M,0,0,0,0
94893286.001.000080262,34,2018-04-01,2021-01-31,34,12,90,100M,0,0,0,0
93914174.003.000066536,57,2019-08-28,2021-08-27,24,19,822,10M,0,0,0,0
73297863.001.000011862,169,2015-10-12,2017-11-10,24,-28,168,30M,0,0,0,1
91578997.001.000053132,103,2018-03-30,2020-04-29,25,3,188,30M,0,0,1,0
90600685.002.000055679,109,2018-10-01,2020-09-30,24,8,577,100M,0,0,1,0
95556353.001.000087699,22,2018-03-02,2020-01-03,24,1,90,100M,0,0,0,0
93770386.001.000069221,51,2018-06-20,2020-06-19,24,4,438,100M (FTTO),0,0,0,0
95182655.001.000083405,24,2019-04-26,2021-04-25,24,14,698,100M,0,0,0,0
95372108.001.000085579,4,2017-10-12,2020-11-10,36,-6,215,100M (FTTO),0,0,0,1
92922541.001.000059422,78,2019-07-01,2021-06-30,24,17,1420,100M,0,0,1,0
94205358.001.000069573,51,2018-07-01,2020-06-30,24,5,140,100M,0,0,1,0
94262334.002.000088692,2,2018-05-09,2021-08-02,33,12,150,30M,0,0,1,0
94856960.001.000079672,37,2018-08-08,2020-07-08,24,6,250,100M,0,0,0,0
94319381.001.000071404,52,2018-09-01,2020-08-31,24,7,150,10M,0,0,1,0
73877409.001.000014486,155,2017-12-06,2021-05-05,41,15,160,10M,0,0,0,0
77811842.001.000027359,120,2016-06-30,2018-06-29,24,-19,143,10M,0,0,0,1
94287448.001.000070752,56,2018-09-27,2020-09-26,24,8,338,100M,0,0,1,0
93794964.001.000088892,11,2018-05-29,2020-05-28,24,4,118,100M (FTTO),0,0,0,0
94040292.001.000085655,10,2017-10-31,2019-10-30,24,-3,340,30M,0,0,1,1
94159407.001.000068960,49,2018-05-23,2020-05-22,24,3,527,100M (FTTO),0,0,0,0
90804691.003.000064480,76,2017-02-01,2019-01-31,24,-12,210,100M,0,0,0,1
93826014.002.000071206,50,2017-04-13,2020-12-10,42,8,203,100M (FTTO),0,0,1,0
95778056.001.000090397,3,2018-08-03,2020-02-08,24,6,128,100M (FTTO),0,0,0,0
95083721.001.000082401,12,2019-03-01,2021-02-28,24,13,155,100M (FTTO),0,0,0,0
94239720.002.000092664,7,2019-01-18,2021-01-17,24,11,8316,100M,0,0,1,0
94736451.001.000082924,14,2017-04-03,2019-02-04,24,-10,988,100M,0,0,0,1
94870219.001.000079887,25,2018-07-29,2020-07-28,24,6,140,100M,0,0,0,0
73911257.001.000096006,3,2019-09-17,2021-09-16,24,19,240,100M (FTTO),0,0,1,0
95595377.001.000088151,6,2018-04-04,2021-03-04,36,14,168,10M,0,0,0,0
71628333.001.000005636,192,2018-09-15,2021-03-14,30,13,358,1000M (FTTO),0,0,0,0
94158722.001.000070747,61,2018-09-22,2020-09-21,24,7,210,100M,0,0,1,0
72099765.001.000007841,182,2019-10-14,2021-10-13,24,20,235,100M,0,0,1,0
93967214.001.000066431,69,2019-08-19,2021-08-18,24,18,288,30M,0,0,0,0
93899730.001.000065258,77,2019-06-12,2021-11-06,24,16,2290,100M,0,0,1,0
93554897.001.000061924,66,2018-10-26,2020-10-25,24,8,423,100M,0,0,1,0
94634367.001.000076124,48,2019-10-01,2021-10-31,25,21,119,100M (FTTO),0,0,0,0
75453316.002.000081314,34,2018-11-08,2020-07-11,24,9,90,100M,0,0,0,0
93171494.001.000060181,91,2018-02-22,2020-02-21,24,0,185,100M,0,0,0,0
90229733.001.000029319,112,2018-08-23,2020-08-22,24,6,160,100M,0,0,0,0
74618364.001.000017854,156,2019-05-03,2021-02-05,24,15,186,30M,0,0,0,0
91546838.001.000052873,97,2019-11-01,2021-10-31,24,21,1442,10M,0,0,1,0
95689147.001.000089399,4,2019-08-22,2022-07-22,35,29,268,100M,0,0,0,0
75628727.001.000023077,137,2018-05-22,2020-05-21,24,3,560,10M,0,0,1,0
75493064.001.000089925,16,2018-07-26,2020-07-25,24,5,102,100M,0,0,0,0
95426441.001.000086222,16,2017-11-22,2020-11-21,36,9,270,300M (FTTO),0,0,0,0
90009044.001.000028236,122,2019-04-18,2021-04-17,24,14,175,100M,0,0,1,0
71569917.001.000090591,12,2018-08-24,2020-08-23,24,6,1352,100M,0,0,1,0
94674827.001.000076834,32,2019-12-28,2021-12-27,24,23,816,100M (FTTO),0,0,0,0
93862308.001.000064728,72,2019-01-21,2021-01-20,24,11,273,100M,0,0,0,0
93862068.001.000064714,64,2019-02-18,2021-02-17,24,12,150,30M,0,0,0,0
95096665.001.000082524,33,2018-08-20,2021-02-19,30,12,160,100M,0,0,0,0
94474988.001.000073826,38,2018-06-13,2021-12-08,38,18,160,100M,0,0,0,0
95033411.001.000081929,24,2017-01-05,2019-04-01,24,-13,147,100M,0,0,0,0
96034574.001.000092605,11,2019-01-21,2021-01-20,24,11,248,100M (FTTO),0,0,0,0
94830247.001.000079230,37,2018-06-29,2020-06-28,24,5,288,100M (FTTO),0,0,0,0
95309407.001.000084729,15,2019-08-02,2021-01-08,24,18,160,100M,0,0,0,0
72432859.002.000091719,11,2018-11-08,2020-07-11,24,9,172,100M,0,0,1,0
93973212.001.000066501,72,2019-07-10,2021-09-07,24,17,168,100M (FTTO),0,0,0,0
93585628.001.000062067,70,2018-10-16,2020-10-15,24,8,320,100M,0,0,0,0
95539540.001.000087513,17,2018-02-07,2020-06-02,24,0,288,100M,0,0,0,0
90473240.001.000030667,124,2019-03-17,2021-03-16,24,13,180,100M (FTTO),0,1,0,0
94903846.001.000080353,26,2018-08-30,2020-08-29,24,7,160,100M,0,0,0,0
94336914.001.000071770,46,2018-11-11,2020-10-11,24,9,203,100M (FTTO),0,0,0,0
94443454.001.000073450,43,2017-05-01,2019-04-30,24,-9,246,100M,0,0,0,1
95438008.001.000086372,24,2017-11-13,2019-12-11,24,-3,282,100M,0,0,0,1
72058027.002.000009414,167,2020-01-02,2022-01-01,24,23,200,10M,0,2,0,0
93008498.002.000086635,0,2018-01-20,2020-01-19,24,-1,198,100M,0,0,0,0
94690559.001.000077070,34,2020-01-20,2022-01-19,24,23,1007,100M (FTTO),0,0,0,0
75395798.001.000021802,139,2019-03-01,2021-02-28,24,13,620,100M,0,0,1,0
94788288.001.000078689,38,2018-05-10,2020-09-05,24,3,168,100M (FTTO),0,0,0,0
91338236.001.000049974,114,2018-02-28,2020-02-28,24,1,95,100M,0,0,1,0
95537304.001.000087460,11,2020-02-01,2022-01-31,24,24,256,100M,0,0,0,0
93923670.001.000092373,2,2018-12-17,2020-12-16,24,10,102,100M,0,0,0,0
72584998.001.000009926,182,2019-10-24,2021-10-23,24,20,168,100M,0,0,1,0
92024959.002.000063262,72,2018-12-05,2020-04-12,24,10,169,30M,0,0,1,0
76941616.001.000026652,126,2018-07-27,2020-07-26,24,6,140,100M (FTTO),0,0,0,0
94392131.001.000080754,27,2018-10-24,2020-10-23,24,8,503,100M,0,0,1,0
90723784.001.000033649,113,2019-05-01,2021-04-30,24,15,203,100M,0,0,1,0
94121670.001.000074848,39,2019-06-17,2021-10-16,28,20,73,10M,0,0,1,0
90673609.001.000033173,121,2019-08-01,2021-07-31,24,18,198,30M,0,0,1,0
91966325.001.000055614,106,2018-12-01,2020-11-30,24,10,780,10M,0,0,0,0
94446028.001.000073464,40,2019-04-21,2021-04-20,24,14,235,100M (FTTO),0,0,0,0
74876988.001.000089624,6,2018-08-01,2020-07-31,24,6,336,100M,0,0,1,0
72012594.001.000084805,14,2017-08-12,2019-11-08,24,-6,298,100M,0,0,0,1
90802349.001.000035748,102,2019-08-01,2021-07-31,24,18,152,10M,0,0,1,0
92634930.001.000081731,34,2019-01-21,2021-01-20,24,11,213,100M (FTTO),0,0,1,0
95499109.001.000087136,19,2020-01-05,2022-04-01,24,23,160,100M,0,0,0,0
94075645.001.000067835,52,2016-01-27,2018-01-26,24,-24,331,100M,0,0,0,0
95728101.001.000089730,9,2018-07-13,2020-12-07,24,5,168,300M (FTTO),0,0,0,0
93740702.001.000086688,13,2017-12-01,2019-11-30,24,-2,280,100M,0,0,0,0
94787991.001.000078637,34,2019-09-12,2022-11-09,36,31,119,100M (FTTO),0,0,0,0
93589638.001.000062104,85,2018-06-01,2020-05-31,24,4,827,30M,0,0,1,0
91710020.002.000075778,29,2019-10-20,2021-10-19,24,20,200,100M (FTTO),0,0,1,0
93298271.001.000060633,86,2018-03-01,2020-02-29,24,1,155,100M,0,0,0,0
94034089.001.000067219,61,2019-11-06,2021-05-11,24,21,361,100M,0,0,1,0
71749824.001.000006199,176,2019-01-04,2021-03-01,24,11,176,30M,0,0,1,0
95122842.001.000082782,10,2018-03-31,2020-03-30,24,2,510,100M (FTTO),0,0,0,0
90231911.001.000029349,114,2019-11-15,2021-11-14,24,21,288,100M,0,0,1,0
77193241.001.000026835,131,2018-03-01,2020-02-29,24,1,119,10M,0,0,1,0
94785557.001.000078599,37,2019-05-17,2021-05-16,24,15,140,10M,0,0,0,0
94366655.001.000072335,51,2016-11-25,2019-06-24,31,-8,231,10M,0,0,1,1
94105152.001.000068143,57,2015-01-20,2016-07-19,18,-43,122,10M,0,0,0,1
95819215.001.000090836,8,2018-09-05,2020-04-09,24,7,90,100M,0,0,0,0
74839465.001.000018935,137,2019-05-27,2021-05-26,24,16,319,50M,0,0,1,0
74469503.001.000050104,95,2018-02-27,2020-02-26,24,1,716,100M (FTTO),0,1,0,0
92638477.001.000084491,13,2019-07-24,2021-07-23,24,17,253,100M (FTTO),0,0,1,0
70838834.001.000002808,202,2017-07-01,2019-06-30,24,-7,354,100M,0,1,1,1
95432514.001.000083851,4,2018-04-30,2022-05-29,49,28,296,100M (FTTO),0,0,0,0
94525243.001.000074569,36,2019-11-29,2020-11-28,12,10,1660,30M,0,0,0,0
94251261.001.000070247,47,2016-08-19,2018-08-18,24,-18,1250,100M,0,0,0,1
72007354.001.000007436,186,2018-06-05,2020-04-09,27,7,231,100M,0,0,1,0
90055658.001.000028316,127,2018-09-01,2020-08-31,24,7,198,100M,0,0,0,0
90309311.001.000029788,114,2019-06-01,2021-05-31,24,16,446,30M,0,0,1,0
94269842.001.000070469,47,2016-12-09,2018-08-12,24,-14,160,30M,0,0,1,1
93481596.001.000061516,71,2018-05-30,2020-05-29,24,4,268,30M,0,0,1,0
94251873.001.000089586,17,2018-07-26,2020-07-25,24,5,383,100M,0,0,1,0
90904814.002.000053736,95,2018-07-20,2020-07-19,24,5,160,100M,0,0,1,0
71841407.001.000006601,194,2019-07-01,2021-06-30,24,17,263,10M,0,0,0,0
92565639.002.000059649,92,2019-06-09,2021-08-06,24,16,693,100M,0,0,1,0
92791342.001.000058999,88,2019-06-27,2021-07-26,25,18,576,10M,0,0,1,0
94358942.001.000072189,38,2019-01-12,2021-11-01,24,11,458,300M (FTTO),0,0,0,0
73356834.001.000012061,162,2017-05-01,2019-04-30,24,-9,351,100M,0,0,0,1
95754677.001.000090155,7,2018-07-27,2020-07-26,24,6,243,100M (FTTO),0,0,0,0
90962838.001.000039586,100,2018-03-01,2020-02-29,24,1,252,10M,0,0,1,0
93891596.001.000065152,71,2019-05-15,2021-05-14,24,15,150,100M,0,0,0,0
94630654.001.000076082,43,2019-12-20,2021-12-19,24,22,128,100M,0,0,0,0
95531414.001.000087423,12,2018-01-26,2022-01-25,48,23,138,100M (FTTO),0,0,0,0
93347581.001.000060891,91,2018-04-15,2020-04-14,24,2,140,100M (FTTO),0,0,0,0
94196383.002.000077977,41,2018-04-13,2020-12-04,24,2,140,100M (FTTO),0,0,1,0
74310707.001.000016362,152,2020-01-01,2021-12-31,24,23,110,10M,0,0,0,0
95132429.001.000082882,23,2019-04-03,2021-02-04,24,14,206,100M,0,0,0,0
95987855.001.000092219,10,2018-12-10,2020-09-12,24,10,282,10M,0,0,0,0
93595676.001.000062115,84,2018-10-01,2020-09-30,24,8,200,100M,0,0,1,0
71324545.001.000004569,192,2020-02-05,2021-04-02,12,12,412,30M,0,0,1,0
92531516.001.000058039,83,2019-03-01,2021-02-28,24,13,178,100M (FTTO),0,0,0,0
93233930.001.000060439,73,2018-04-26,2020-04-25,24,2,762,50M,0,0,1,0
96153176.001.000093480,6,2019-03-28,2021-03-27,24,14,1980,1000M (FTTO),0,1,0,0
94034097.001.000092887,3,2019-02-01,2021-01-31,24,12,783,100M,0,0,0,0
93846392.001.000064433,64,2019-03-06,2021-05-03,24,13,188,100M (FTTO),0,0,1,0
73645269.001.000013268,164,2017-12-01,2019-11-30,24,-2,450,100M (FTTO),0,0,1,1
71624068.001.000005585,186,2019-06-01,2021-05-31,24,16,181,100M,0,0,1,0
94004116.001.000066844,61,2019-06-28,2021-07-27,25,18,223,100M,0,0,0,0
91356642.001.000050379,105,2018-02-12,2020-11-02,24,0,140,100M (FTTO),0,0,1,0
95380010.001.000085657,17,2020-01-01,2021-12-31,24,23,90,100M,0,0,0,0
76683986.001.000056801,94,2017-08-22,2020-09-21,37,7,658,100M,0,0,1,0
93770931.002.000069293,67,2019-08-28,2021-08-27,24,19,90,100M,0,0,1,0
96070958.002.000094902,5,2019-07-06,2021-05-07,24,17,188,1000M (FTTO),0,0,0,0
95767612.001.000090277,15,2018-09-07,2020-06-09,24,7,90,100M,0,0,0,0
77477230.001.000076057,45,2019-12-01,2021-11-30,24,22,145,100M (FTTO),0,0,0,0
94556172.001.000084352,25,2017-07-14,2019-07-13,24,-7,2888,100M,0,0,0,1
93363265.001.000060951,76,2019-11-30,2022-03-29,28,26,169,10M,0,0,1,0
94713690.001.000077508,40,2018-02-16,2020-02-15,24,0,140,100M,0,0,0,0
91138982.001.000092948,6,2019-03-11,2021-10-03,24,13,2278,1000M (FTTO),0,0,1,0
71528178.001.000082160,13,2017-01-20,2019-01-19,24,-13,243,100M,0,0,1,1
93949113.002.000071434,47,2018-11-10,2020-09-11,24,9,7042,10M,0,0,1,0
94760907.001.000067574,58,2017-10-16,2019-10-15,24,-4,140,100M,0,0,0,1
95488524.001.000087042,6,2017-12-29,2019-12-28,24,-1,158,100M,0,1,0,1
73049280.001.000011112,160,2018-06-03,2020-02-06,24,4,354,100M,0,0,1,0
94757333.001.000078160,34,2018-04-08,2020-07-04,24,2,140,100M (FTTO),0,0,0,0
90822917.002.000086922,16,2019-12-15,2021-12-14,24,22,140,100M,0,0,1,0
93426443.001.000061237,86,2018-04-03,2020-02-04,24,2,188,100M,0,0,1,0
94297157.001.000070904,41,2018-10-01,2020-09-30,24,8,178,30M,0,0,0,0
94830270.001.000079236,30,2018-06-22,2020-06-21,24,4,1000,500M (FTTO),0,0,0,0
90197690.001.000029130,128,2018-06-13,2020-12-06,24,4,178,100M,0,0,0,0
94712692.001.000077488,45,2018-02-23,2020-02-22,24,0,140,100M,0,0,0,0
91460865.001.000066786,61,2019-12-19,2021-12-18,24,22,216,100M,0,0,1,0
94006111.002.000072460,46,2019-01-27,2021-01-26,24,12,198,100M,0,0,1,0
94216934.001.000069768,61,2018-06-11,2020-10-06,24,4,158,100M,0,0,1,0
94831401.001.000079255,42,2018-06-23,2020-06-22,24,4,288,100M,0,0,0,0
94849676.001.000079588,36,2019-12-07,2021-06-12,24,22,2100,100M,0,0,0,0
74723396.001.000018475,142,2019-09-25,2021-09-24,24,19,178,30M,0,0,1,0
75174789.001.000020695,138,2018-06-01,2020-05-31,24,4,118,100M,0,0,1,0
72554454.001.000009828,187,2018-09-03,2020-02-09,24,7,528,100M,0,0,1,0
94451358.001.000073534,52,2017-06-16,2019-06-15,24,-8,898,100M,0,0,0,1
93303352.001.000060677,77,2018-06-01,2020-05-31,24,4,254,100M (FTTO),0,0,1,0
91488379.001.000080712,26,2018-12-09,2020-08-12,24,10,114,100M,0,0,1,0
96050653.001.000092699,5,2019-03-30,2021-03-29,24,14,2310,300M (FTTO),0,0,0,0
92931708.001.000059446,79,2019-10-03,2021-02-10,24,20,188,30M,0,0,1,0
94488384.001.000079147,28,2018-08-01,2020-07-31,24,6,2467,10M,0,0,0,0
75628909.001.000023080,131,2018-10-27,2020-10-26,24,9,199,100M (FTTO),0,0,1,0
75613307.001.000068359,62,2018-02-19,2020-02-18,24,0,203,100M,0,0,1,0
95014379.001.000081772,14,2018-12-29,2020-12-28,24,11,185,100M,0,0,0,0
93823375.001.000064122,64,2019-02-09,2022-08-02,36,24,388,100M,0,0,0,0
93204741.001.000060284,78,2020-01-01,2021-12-31,24,23,210,30M,0,0,1,0
94659760.001.000076536,42,2020-01-07,2022-06-01,24,23,128,100M (FTTO),0,0,0,0
95692489.001.000089430,13,2018-06-20,2020-06-19,24,-5,140,100M,0,0,0,1
78161437.001.000027547,124,2019-05-08,2021-07-05,24,15,173,10M,0,0,1,0
95441739.001.000088407,0,2018-04-17,2020-04-16,24,-7,2990,100M,0,0,0,1
95525184.001.000087352,1,2018-03-08,2020-06-03,24,-15,0,100M (FTTO),0,0,0,1
93886224.001.000070498,51,2018-10-03,2020-02-10,24,8,163,10M,0,0,0,0
95850483.001.000091332,13,2018-10-16,2021-10-15,36,20,3400,1000M (FTTO),0,1,0,0
93532844.001.000061823,79,2018-09-21,2020-09-20,24,7,238,100M,0,0,1,0
73485021.001.000012671,166,2018-12-21,2020-12-20,24,10,140,100M,0,0,1,0
72551740.001.000009813,167,2015-05-09,2017-08-08,27,-30,262,100M,0,0,0,1
90869942.001.000037730,114,2018-04-01,2020-03-31,24,2,169,10M,0,0,1,0
92671403.001.000065603,59,2019-06-01,2020-05-31,12,4,2680,100M (FTTO),0,0,0,0
96186101.001.000093745,5,2019-04-13,2022-12-04,36,26,398,500M (FTTO),0,0,0,0
73497844.001.000012695,175,2018-08-15,2020-08-14,24,6,150,100M,0,0,1,0
95049730.001.000082068,33,2019-01-12,2021-11-01,24,11,1450,300M (FTTO),0,0,0,0
95413464.001.000086030,4,2018-10-31,2021-10-30,36,21,119,10M,0,0,0,0
73889511.001.000014550,171,2018-08-22,2020-08-21,24,6,150,30M,0,0,0,0
95427902.001.000086240,13,2017-11-02,2020-01-11,36,9,1950,100M (FTTO),0,0,0,0
93992063.001.000085410,6,2017-11-16,2019-11-15,24,-9,990,100M,0,0,0,1
91234542.002.000066089,63,2019-07-26,2021-07-25,24,17,140,10M,0,0,0,0
94629680.001.000076056,30,2015-11-03,2017-02-11,24,-28,138,100M,0,0,0,1
72514516.002.000044588,119,2019-08-08,2021-07-08,24,18,640,100M,0,0,1,0
96181797.001.000093717,2,2019-05-20,2021-05-19,24,15,368,1000M (FTTO),0,0,0,0
72236870.001.000035123,125,2019-06-01,2021-05-31,24,16,175,10M,0,0,1,0
95700381.001.000089473,10,2018-06-19,2020-06-18,24,4,171,300M (FTTO),0,0,0,0
75373688.001.000021690,152,2019-06-01,2021-05-31,24,16,110,100M (FTTO),0,0,1,0
94696085.001.000077220,24,2020-02-02,2022-01-02,24,24,700,30M,0,0,0,0
92038934.001.000055989,89,2018-12-29,2020-12-28,24,11,160,100M,0,0,0,0
95200267.001.000083600,17,2019-05-17,2021-05-16,24,15,180,100M (FTTO),0,0,0,0
94459773.001.000073645,45,2019-05-29,2021-05-28,24,16,638,100M (FTTO),0,0,0,0
94416088.001.000073069,42,2017-05-24,2019-05-23,24,-9,310,100M,0,1,0,1
71001218.001.000003686,186,2018-08-27,2020-08-26,24,7,268,100M,0,0,0,0
96052931.001.000092727,6,2019-02-18,2021-08-17,30,18,580,100M (FTTO),0,0,0,0
94063757.002.000079976,27,2018-11-01,2019-05-31,7,-8,490,100M (FTTO),0,0,1,1
75903450.001.000024575,133,2018-06-23,2020-06-22,24,4,213,100M,0,0,0,0
93189470.001.000087718,4,2018-02-13,2020-12-02,24,0,188,100M,0,0,1,0
94361987.001.000072219,41,2016-08-01,2018-07-31,24,-18,160,100M (FTTO),0,0,0,1
92548999.001.000074142,44,2019-06-25,2022-08-24,38,30,248,100M,0,0,0,0
71032379.001.000003809,183,2018-09-30,2020-09-29,24,8,383,100M,0,0,0,0
94975596.001.000081392,32,2018-12-16,2020-12-15,24,10,248,100M,0,0,0,0
94144300.001.000068690,46,2016-03-25,2018-03-24,24,-23,178,30M,0,0,1,1
94070729.001.000067775,65,2017-09-01,2019-08-31,24,-5,360,100M (FTTO),0,0,0,1
73944217.003.000051349,94,2018-05-03,2020-02-05,24,3,198,100M,0,0,1,0
94480712.001.000073910,41,2017-06-18,2019-06-17,24,-8,178,100M,0,0,0,1
95033056.001.000082589,19,2019-03-06,2021-05-03,24,13,1444,10M,0,0,0,0
95033924.001.000081932,33,2018-09-11,2021-10-09,36,19,198,100M,0,0,0,0
94765468.001.000078304,30,2018-05-23,2020-05-22,24,3,98,100M,0,0,0,0
93624484.001.000062270,72,2019-02-20,2021-02-19,24,12,198,100M (FTTO),0,0,1,0
94482734.001.000073957,33,2019-07-01,2021-06-30,24,17,228,100M,0,0,0,0
94152436.001.000068830,59,2018-04-01,2020-03-31,24,2,138,100M,0,0,1,0
94224409.001.000069892,47,2018-05-01,2020-04-30,24,3,898,100M,0,0,1,0
90730789.001.000033708,111,2019-05-01,2021-04-30,24,15,306,50M,0,0,1,0
73741779.001.000079427,21,2018-06-21,2020-06-20,24,4,654,100M,0,0,1,0
90349879.001.000029983,114,2019-01-01,2020-12-31,24,11,163,10M,0,0,1,0
93903797.001.000065337,57,2019-03-01,2021-02-28,24,13,238,30M,0,0,0,0
92386077.001.000057455,86,2019-03-01,2021-02-28,24,13,373,10M,0,1,0,0
93981520.001.000066615,71,2019-08-23,2021-08-22,24,18,243,100M,0,0,1,0
75387365.001.000064398,76,2019-05-01,2021-04-30,24,15,2964,1000M (FTTO),0,0,0,0
95704615.001.000089520,14,2018-07-13,2020-12-07,24,5,1200,100M (FTTO),0,0,0,0
91105692.001.000044628,105,2018-10-05,2020-04-10,24,8,136,10M,0,0,0,0
91821413.001.000055422,103,2018-02-27,2020-02-26,24,1,912,30M,0,0,1,0
96212808.001.000094039,2,2019-05-14,2021-05-13,24,15,188,1000M (FTTO),0,0,0,0
72797178.001.000010406,166,2019-05-01,2021-05-31,25,16,408,100M,0,0,1,0
96219605.001.000094073,1,2019-05-06,2021-05-05,24,15,0,100M,0,0,0,0
92413079.001.000084299,8,2017-07-10,2019-09-07,24,-7,292,10M,0,0,1,1
94330487.001.000071617,51,2016-11-12,2018-11-11,24,-15,236,10M,0,0,0,1
76885219.001.000026583,127,2018-07-05,2020-04-07,24,5,238,30M,0,0,0,0
91925974.001.000055330,105,2018-12-04,2020-03-12,24,10,198,100M,0,0,1,0
90137241.001.000028712,119,2017-12-02,2019-01-12,24,-2,128,100M,0,0,1,1
93773240.001.000063446,79,2018-11-01,2020-10-31,24,9,120,10M,0,0,0,0
91651174.001.000054050,95,2017-12-30,2019-12-29,24,-1,136,10M,0,0,1,1
95315701.001.000084842,13,2017-11-30,2027-11-29,120,94,0,1000M (FTTO),0,0,0,0
