initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
f,credit_card,23.88,861.74,53320.0,12.99,Verified,E,4563,6,0,RENT,10.8840667742926,1,0,1
w,debt_consolidation,14.08,109.5,42500.0,19.12,Verified,C,16916,0,0,MORTGAGE,10.657259354912501,1,0,0
w,credit_card,14.08,372.96,45000.0,34.01,Not Verified,C,13807,4,0,MORTGAGE,10.714417768752499,0,0,0
w,debt_consolidation,20.0,503.39,45000.0,27.36,Verified,D,12392,1,0,RENT,10.714417768752499,1,0,0
w,debt_consolidation,17.09,1070.93,35000.0,0.0,Verified,D,0,3,0,RENT,10.4631033404715,1,0,1
w,debt_consolidation,25.82,895.02,160000.0,18.51,Verified,E,53496,5,0,MORTGAGE,11.982929094216,1,0,0
w,debt_consolidation,10.91,130.79,49000.0,5.12,Not Verified,B,2016,5,0,MORTGAGE,10.799575577092801,0,1,1
f,home_improvement,10.42,389.58,98000.0,7.38,Not Verified,B,11021,6,2,MORTGAGE,11.4927227576527,0,1,1
w,debt_consolidation,20.0,529.88,71000.0,26.4,Verified,D,32168,2,0,MORTGAGE,11.1704351560235,1,0,1
w,credit_card,9.93,530.32,23500.0,0.0,Verified,B,0,0,0,MORTGAGE,10.0647557001323,1,1,0
f,debt_consolidation,7.35,295.64,53000.0,19.88,Not Verified,A,21341,1,0,MORTGAGE,10.878047192534302,0,1,0
w,debt_consolidation,19.03,249.37,42000.0,13.71,Not Verified,D,670,5,0,RENT,10.6454248972655,0,0,1
w,debt_consolidation,20.0,222.99,120000.0,4.74,Not Verified,D,7130,0,0,OWN,11.6952470217642,0,0,0
w,home_improvement,17.09,853.18,64800.0,37.56,Not Verified,D,211088,2,0,MORTGAGE,11.0790608823404,0,0,1
f,debt_consolidation,10.42,571.38,186000.0,9.54,Not Verified,B,3647,3,2,MORTGAGE,12.133501952695301,0,1,1
w,home_improvement,11.99,182.66,56000.0,22.27,Verified,B,9475,0,0,MORTGAGE,10.9331069697173,1,1,1
w,credit_card,6.08,304.59,50000.0,20.02,Source Verified,A,4512,1,0,MORTGAGE,10.819778284410301,1,1,0
w,debt_consolidation,17.09,214.19,36000.0,8.43,Not Verified,D,6203,4,0,OWN,10.4912742174382,0,0,0
w,debt_consolidation,13.59,806.97,115000.0,11.77,Source Verified,C,3959,3,0,RENT,11.6526874073454,1,0,0
w,credit_card,12.62,201.07,22000.0,23.79,Not Verified,C,10291,3,0,MORTGAGE,9.99879773234045,0,0,1
f,debt_consolidation,9.44,224.04,40000.0,6.0,Source Verified,B,5714,4,0,MORTGAGE,10.5966347330961,1,1,0
w,credit_card,21.45,327.69,85000.0,3.77,Not Verified,D,8540,1,0,RENT,11.3504065354725,0,0,0
f,major_purchase,19.03,440.06,125582.0,12.3,Verified,D,8328,8,0,RENT,11.7407142106442,1,0,1
w,credit_card,16.02,510.91,70000.0,23.8,Source Verified,C,30629,2,0,RENT,11.156250521031499,1,0,0
w,credit_card,17.09,285.59,27000.0,17.07,Source Verified,D,10411,4,0,MORTGAGE,10.2035921449865,1,0,0
w,debt_consolidation,18.06,635.66,28000.0,6.99,Source Verified,D,3320,4,1,MORTGAGE,10.239959789157302,1,0,1
f,debt_consolidation,13.59,1019.37,69200.0,13.37,Source Verified,C,21107,5,0,MORTGAGE,11.144756141605802,1,0,1
w,home_improvement,9.44,734.04,176000.0,1.56,Not Verified,B,6788,2,0,MORTGAGE,12.0782392740203,0,1,0
w,credit_card,11.99,332.1,50000.0,12.48,Source Verified,B,5950,0,0,MORTGAGE,10.819778284410301,1,1,1
w,credit_card,7.97,626.46,145000.0,13.47,Source Verified,A,11401,2,0,RENT,11.8844890214027,1,1,0
w,debt_consolidation,20.0,148.66,68000.0,25.38,Not Verified,D,20711,4,0,MORTGAGE,11.127262984158198,0,0,1
w,debt_consolidation,16.02,330.88,65000.0,21.68,Source Verified,C,14078,9,0,RENT,11.082142548877801,1,0,0
w,credit_card,11.99,289.12,110000.0,5.24,Not Verified,B,7021,3,1,MORTGAGE,11.608235644774599,0,1,0
w,debt_consolidation,15.05,238.17,100000.0,5.04,Source Verified,C,2934,0,1,MORTGAGE,11.5129254649702,1,0,0
w,credit_card,13.59,368.9,45000.0,22.56,Source Verified,C,11046,0,0,MORTGAGE,10.714417768752499,1,0,0
w,debt_consolidation,22.91,678.85,120000.0,13.45,Verified,E,6887,3,0,OWN,11.6952470217642,1,0,0
w,debt_consolidation,18.06,347.36,48000.0,36.81,Verified,D,5212,6,0,OWN,10.778956289889999,1,0,1
w,debt_consolidation,30.84,1150.5,280000.0,11.63,Verified,G,95357,3,0,RENT,12.5425448821514,1,0,1
f,debt_consolidation,13.59,271.84,65000.0,5.61,Not Verified,C,10987,1,0,RENT,11.082142548877801,0,0,0
w,home_improvement,22.91,579.95,170000.0,11.03,Not Verified,E,4251,8,1,MORTGAGE,12.0435537160324,0,0,0
w,debt_consolidation,18.06,542.74,65000.0,11.34,Source Verified,D,1928,1,0,MORTGAGE,11.082142548877801,1,0,1
w,debt_consolidation,28.72,1010.3,25000.0,65.58,Verified,F,23453,0,0,OWN,10.1266311038503,1,0,1
w,credit_card,16.02,351.67,82000.0,18.19,Verified,C,35507,2,0,MORTGAGE,11.3144745262464,1,0,0
w,debt_consolidation,10.42,195.61,105000.0,11.02,Source Verified,B,3497,1,0,MORTGAGE,11.5617156291397,1,1,0
w,credit_card,7.97,798.73,45000.0,34.89,Source Verified,A,42338,0,0,MORTGAGE,10.714417768752499,1,1,1
f,credit_card,13.59,570.85,14500.0,72.1,Verified,C,26585,0,0,MORTGAGE,9.58190392840867,1,0,1
w,credit_card,15.05,138.76,68000.0,12.85,Source Verified,C,17047,1,0,RENT,11.127262984158198,1,0,1
w,debt_consolidation,19.03,415.32,120000.0,7.57,Source Verified,D,4947,2,0,MORTGAGE,11.6952470217642,1,0,1
w,debt_consolidation,17.09,622.53,95760.11,19.29,Source Verified,D,40947,0,0,RENT,11.4696014889363,1,0,0
w,debt_consolidation,10.42,973.95,100000.0,17.53,Not Verified,B,13729,3,1,RENT,11.5129254649702,0,1,1
w,credit_card,12.62,676.78,62000.0,18.23,Source Verified,C,10373,7,0,RENT,11.0348896640272,1,0,1
f,debt_consolidation,12.62,335.12,75000.0,20.05,Source Verified,C,12974,0,1,RENT,11.2252433925184,1,0,1
f,debt_consolidation,9.93,547.99,72000.0,27.9,Not Verified,B,14130,7,0,RENT,11.1844213979982,0,1,1
w,debt_consolidation,7.21,145.58,44584.0,13.59,Not Verified,A,3764,1,0,MORTGAGE,10.7051303292494,0,1,0
w,debt_consolidation,7.21,247.79,100000.0,20.45,Not Verified,A,19556,1,0,RENT,11.5129254649702,0,1,1
w,debt_consolidation,9.93,212.13,175000.0,12.78,Not Verified,B,27936,4,0,MORTGAGE,12.072541252905701,0,1,0
w,debt_consolidation,13.59,688.08,31600.0,90.09,Verified,C,39108,1,0,RENT,10.360912399575,1,0,1
f,credit_card,20.0,743.28,48000.0,30.3,Verified,D,5592,5,0,RENT,10.778956289889999,1,0,1
w,debt_consolidation,7.35,620.75,90000.0,21.27,Not Verified,A,15762,0,0,MORTGAGE,11.4075649493124,0,1,1
f,debt_consolidation,9.44,480.08,50000.0,19.35,Not Verified,B,5457,1,1,RENT,10.819778284410301,0,1,1
f,debt_consolidation,13.59,305.81,87500.0,15.33,Not Verified,C,14489,2,0,RENT,11.3793940723457,0,0,1
w,debt_consolidation,14.08,155.69,60000.0,32.16,Verified,C,3104,2,0,MORTGAGE,11.002099841204199,1,0,0
w,major_purchase,9.93,424.26,194000.0,0.88,Verified,B,934,2,0,OWN,12.175613438045499,1,1,1
f,debt_consolidation,30.75,1177.68,190000.0,16.52,Verified,F,13316,3,0,RENT,12.154779351142599,1,0,0
w,debt_consolidation,9.93,464.18,42000.0,14.91,Not Verified,B,9309,1,0,OWN,10.6454248972655,0,1,0
w,credit_card,9.93,773.63,120000.0,20.08,Source Verified,B,27672,1,0,RENT,11.6952470217642,1,1,1
w,debt_consolidation,11.99,332.1,35000.0,25.03,Source Verified,B,7366,0,0,RENT,10.4631033404715,1,1,1
w,home_improvement,12.62,884.7,186000.0,19.01,Not Verified,C,54349,5,0,OWN,12.133501952695301,0,0,1
w,debt_consolidation,9.44,256.04,38000.0,24.68,Verified,B,7087,3,1,MORTGAGE,10.5453414387085,1,1,1
w,home_improvement,7.97,156.62,55000.0,11.85,Not Verified,A,7357,1,0,MORTGAGE,10.9150884642146,0,1,0
w,debt_consolidation,6.72,550.75,65000.0,28.38,Verified,A,58078,2,1,MORTGAGE,11.082142548877801,1,1,1
w,debt_consolidation,16.02,291.95,93500.0,17.44,Verified,C,7811,1,0,RENT,11.445716715276802,1,0,1
w,debt_consolidation,21.45,273.08,36500.0,42.95,Verified,D,11052,5,0,MORTGAGE,10.5050675395706,1,0,0
w,credit_card,6.08,487.34,66400.0,20.78,Verified,A,2678,3,0,RENT,11.1034523354645,1,1,0
w,debt_consolidation,7.35,148.98,60000.0,28.14,Source Verified,A,12433,4,0,MORTGAGE,11.002099841204199,1,1,1
w,home_improvement,7.97,78.31,80000.0,19.88,Not Verified,A,14026,1,0,MORTGAGE,11.289781913656,0,1,0
w,debt_consolidation,14.08,85.55,37000.0,3.96,Source Verified,C,1002,2,0,RENT,10.518673191626402,1,0,0
w,home_improvement,12.62,902.37,57000.0,4.48,Verified,C,6471,3,1,MORTGAGE,10.950806546816699,1,0,0
w,small_business,12.62,335.12,80000.0,7.41,Not Verified,C,9643,4,0,RENT,11.289781913656,0,0,1
f,debt_consolidation,20.0,148.66,84750.0,17.29,Source Verified,D,1344,4,1,OWN,11.347461025242698,1,0,0
w,credit_card,12.62,338.39,60000.0,26.46,Not Verified,C,11919,1,1,RENT,11.002099841204199,0,0,1
w,debt_consolidation,12.62,204.42,72000.0,14.62,Not Verified,C,5519,3,0,MORTGAGE,11.1844213979982,0,0,0
f,debt_consolidation,7.35,372.45,100000.0,16.57,Not Verified,A,15188,2,0,MORTGAGE,11.5129254649702,0,1,0
